Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors,Source
us,yoga retreats in nosara costa rica,,,,,,390,13,1.12,0.65,113000,Commercial,"Local Pack, Video, Video Carousel, Related Searches, Discussions And Forums, AI Overview","0.00,0.00,1.00,0.02,0.03,0.00,0.01,1.00,0.00,0.00,0.01,0.00",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat sedona,,,,,,320,19,0.84,0.59,0,Commercial,"Local Pack, Site Links, Video, Related Searches","0.13,0.24,0.24,0.06,1.00,0.10,0.13,0.06,0.08,0.10,0.13,0.16",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat puerto rico,,,,,,320,16,1.07,0.35,1830000,Commercial,"Local Pack, Site Links, Video, Image, Video Carousel, Related Searches, Discussions And Forums","0.54,0.36,0.44,0.29,0.29,0.36,0.29,0.44,0.29,0.44,0.54,0.66",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat massachusetts,,,,,,320,20,0.88,0.33,1660000,"Informational, Transactional","Site Links, Video, Related Searches, Knowledge Panel","0.54,0.44,0.54,0.44,0.54,0.44,0.66,0.44,0.44,0.54,0.66,0.44",20.0,,,boookretreatyogaretreatkeywoord
us,tulum yoga retreat,,,,,,320,8,1.12,0.69,0,Commercial,"Local Pack, Site Links, Video, Related Searches","0.48,0.32,0.26,0.21,0.32,0.26,0.26,0.26,0.26,0.26,0.39,0.32",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat new york,,,,,,320,27,0.59,0.48,13200000,Commercial,"Related Searches, Discussions And Forums, AI Overview, Local Pack, Site Links, Video","0.44,0.36,0.44,0.44,0.36,0.29,0.29,0.44,0.23,0.23,0.29,0.23",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat arizona,,,,,,320,17,0.81,0.6,146,Commercial,"Site Links, Video, People Also Ask, Related Searches, Local Pack","0.44,0.19,0.36,0.23,0.29,0.29,0.29,0.29,0.29,0.29,0.36,0.29",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat in california,,,,,,260,47,0.64,0.44,10100000,Commercial,"Related Searches, Discussions And Forums, AI Overview, Local Pack, Site Links, Video","0.54,0.29,0.36,0.54,0.44,0.54,0.29,0.12,0.09,0.44,0.54,1.00",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat new england,,,,,,260,20,0.76,0.46,5310000,Commercial,"Local Pack, Video, Related Searches, Discussions And Forums","1.00,0.43,0.54,0.66,0.54,0.54,0.66,0.66,0.43,0.35,0.54,0.43",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat guatemala,,,,,,260,17,0.77,0.32,1780000,Commercial,"Related Searches, Local Pack, Site Links, Video, People Also Ask","0.20,0.16,0.13,0.13,0.13,0.16,0.20,0.24,0.20,0.16,0.24,0.24",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat greece,,,,,,260,12,0.67,0.16,4740000,Commercial,"Local Pack, Video, Related Searches, Discussions And Forums","0.66,0.82,0.66,0.66,0.82,0.66,0.82,0.53,0.53,0.43,0.53,0.53",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats in costa rica,,,,,,260,30,1.35,0.94,1720000,Commercial,"Discussions And Forums, Site Links, Video, Hotels Pack, People Also Ask, Related Searches","0.07,0.16,0.08,0.10,0.16,0.20,0.13,0.16,0.02,0.08,0.05,0.20",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats for women,,,,,,260,20,0.91,0.04,152,Commercial,"Image, Related Searches, AI Overview, Local Pack, Video","0.29,0.35,0.66,0.81,0.81,0.54,0.81,0.54,0.81,1.00,0.66,0.43",90.0,,,boookretreatyogaretreatkeywoord
us,lake atitlan yoga retreat,,,,,,260,26,0.7,0.39,108000,Commercial,"Site Links, Video, Image, Related Searches, Local Pack","0.26,0.26,0.17,0.11,0.14,0.21,0.32,0.21,0.17,0.14,0.26,0.26",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat for beginners,,,,,,260,14,0.86,0.3,0,Informational,"Site Links, Video, Related Searches, AI Overview","0.66,0.43,0.43,0.35,0.66,0.54,0.43,0.43,1.00,0.35,0.43,0.35",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat north carolina,,,,,,260,42,0.68,0.49,2550000,Commercial,"Local Pack, Video, Related Searches","0.44,0.44,0.35,0.54,0.54,0.54,0.54,0.35,0.28,0.28,0.35,0.81",90.0,,,boookretreatyogaretreatkeywoord
us,surf and yoga retreat costa rica,,,,,,260,26,1.93,0.85,904000,Commercial,"Local Pack, Site Links, Video, Image, Related Searches","0.36,0.29,0.36,0.12,0.23,0.29,0.15,0.19,0.23,0.19,0.29,0.23",20.0,,,boookretreatyogaretreatkeywoord
us,luxury yoga retreats,,,,,,210,46,1.36,0.17,9690000,Informational,"Local Pack, Site Links, Video, Related Searches, Discussions And Forums, AI Overview","0.11,0.14,0.17,0.17,0.21,0.17,1.00,0.14,0.21,0.14,0.48,0.14",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats bali,,,,,,210,28,1.05,0.43,154,Informational,"Video, Hotels Pack, Related Searches, Site Links","0.29,0.36,0.36,0.29,0.36,0.36,0.29,0.23,0.15,0.09,0.15,0.09",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat spain,,,,,,210,28,0.56,0.2,121,Commercial,"Local Pack, Site Links, Video, Related Searches","0.54,0.43,0.35,0.35,0.54,0.43,0.43,0.29,0.35,0.29,0.35,0.29",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat virginia,,,,,,210,31,0.4,0.4,3010000,Commercial,"Local Pack, Site Links, Video, Related Searches","0.35,0.28,0.28,0.28,0.28,0.28,0.35,0.35,0.23,0.23,0.35,0.23",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat michigan,,,,,,210,25,0.24,0.3,1980000,Commercial,"Local Pack, Site Links, Video, Related Searches","0.66,0.66,0.53,0.53,0.66,0.43,0.43,0.35,0.28,0.28,0.35,0.43",20.0,,,boookretreatyogaretreatkeywoord
us,silent yoga retreat,,,,,,210,23,0.69,0.47,4840000,Commercial,"Local Pack, Site Links, Video, Related Searches","0.81,0.53,0.53,0.34,1.00,1.00,0.81,0.53,0.53,0.65,0.43,0.43",20.0,,,boookretreatyogaretreatkeywoord
us,surf and yoga retreat bali,,,,,,170,27,1.64,0.59,162,Informational,"Site Links, Video, Image, Hotels Pack, Related Searches, Discussions And Forums, AI Overview","0.29,0.22,0.29,0.22,0.22,0.35,0.29,1.00,0.22,0.18,0.35,0.29",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat new mexico,,,,,,170,15,0.79,0.09,8720000,Commercial,"Local Pack, Video, Related Searches","0.53,0.43,0.34,0.43,0.53,0.65,0.53,0.34,0.43,0.43,0.53,0.34",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat oregon,,,,,,170,8,0.4,0.11,1720000,Commercial,"Local Pack, Video, Related Searches","0.53,0.34,0.34,0.43,0.65,0.53,0.65,0.53,0.53,0.81,1.00,0.43",90.0,,,boookretreatyogaretreatkeywoord
us,hawaii yoga retreat,,,,,,170,24,0.9,0.41,2570000,Commercial,"Local Pack, Video, Image, People Also Ask, Related Searches, Discussions And Forums","0.81,0.43,0.43,0.34,0.43,0.43,0.43,0.43,0.53,0.43,0.81,0.34",90.0,,,boookretreatyogaretreatkeywoord
us,sedona arizona yoga retreat,,,,,,170,19,0.84,0.59,387000,Commercial,"Local Pack, Site Links, Video, Image, Related Searches","0.15,0.28,0.28,0.35,0.23,0.15,0.66,0.23,0.08,0.06,1.00,0.54",20.0,,,boookretreatyogaretreatkeywoord
us,rishikesh yoga retreat,,,,,,170,26,0.7,0.37,1980000,Commercial,"Related Searches, Local Pack, Site Links, Video","0.65,0.42,0.53,0.42,0.80,0.80,0.65,1.00,0.26,0.80,0.65,0.53",20.0,,,boookretreatyogaretreatkeywoord
us,belize yoga retreat,,,,,,170,5,0.95,0.76,106,Commercial,"Image, Hotels Pack, Related Searches, Site Links","0.54,0.35,0.29,0.18,0.29,0.29,0.29,0.22,0.22,0.29,0.35,0.29",20.0,,,boookretreatyogaretreatkeywoord
us,affordable yoga retreats,,,,,,170,9,0.91,0.48,4690000,"Informational, Commercial","Site Links, Video, Related Searches, Discussions And Forums, AI Overview","0.23,0.23,0.23,0.36,0.23,0.19,0.23,0.29,0.12,0.36,1.00,0.23",20.0,,,boookretreatyogaretreatkeywoord
us,great yoga retreats,,,,,,170,34,1.28,0.45,21700000,"Informational, Commercial","Site Links, Video, Related Searches, Discussions And Forums, AI Overview, Local Pack","0.05,0.03,0.08,0.10,0.13,0.08,0.20,0.20,0.30,0.20,0.24,0.13",20.0,,,boookretreatyogaretreatkeywoord
us,top yoga retreats,,,,,,170,20,1.28,0.45,137,Commercial,"Video, Video Carousel, Related Searches","0.11,0.21,0.26,0.21,0.07,0.09,0.26,0.26,0.07,0.09,0.32,0.17",90.0,,,boookretreatyogaretreatkeywoord
us,all inclusive yoga retreat,,,,,,170,8,1.36,0.76,152,Informational,"Video, Related Searches, AI Overview","0.65,0.65,0.65,0.65,1.00,1.00,1.00,0.80,0.42,0.42,0.65,0.34",90.0,,,boookretreatyogaretreatkeywoord
us,top yoga retreats in the world,,,,,,170,14,1.18,0.42,13400000,Commercial,"Site Links, Video, Related Searches, Discussions And Forums, AI Overview","0.21,0.53,0.43,0.53,0.65,0.53,0.81,0.65,0.53,0.53,0.65,0.34",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat philippines,,,,,,170,5,0.64,0.14,4240000,Commercial,"Video, Related Searches, Local Pack","0.08,0.08,0.01,0.01,0.01,0.01,0.08,1.00,0.05,0.05,0.06,0.03",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat venue,,,,,,170,36,0.0,0.05,508,Commercial,"Local Pack, Site Links, Related Searches, AI Overview","1.00,0.65,0.43,0.43,0.53,0.65,0.43,0.43,0.43,0.43,0.53,0.43",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat nicaragua,,,,,,170,30,0.89,0.72,1230000,Transactional,"Video Carousel, Related Searches, Discussions And Forums, Site Links, Video, Hotels Pack","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat europe,,,,,,170,15,0.74,0.41,9850000,Commercial,"Site Links, Video, Related Searches, AI Overview","0.53,0.53,0.65,0.53,0.43,0.43,0.53,0.28,0.34,0.34,0.65,0.28",20.0,,,boookretreatyogaretreatkeywoord
us,guatemala yoga retreat lake atitlan,,,,,,170,20,0.7,0.39,145000,Commercial,"Image, Video Carousel, Related Searches, Local Pack, Site Links, Video","0.29,0.29,0.19,0.15,0.23,0.23,0.23,0.19,0.19,0.15,0.36,0.29",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats in florida,,,,,,170,12,0.59,0.27,2200000,Commercial,"Site Links, Video, Related Searches, AI Overview, Local Pack","0.18,0.11,0.08,0.35,0.54,0.18,0.35,0.15,0.18,0.23,0.35,0.54",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats india,,,,,,170,34,0.74,0.21,148,Informational,"Hotels Pack, Video Carousel, Related Searches, AI Overview, Knowledge Panel, Site Links, Video, Image","0.43,0.43,0.28,0.28,0.35,1.00,0.28,0.28,0.28,0.66,0.53,0.23",20.0,,,boookretreatyogaretreatkeywoord
us,sayulita yoga retreat,,,,,,170,16,1.08,0.37,180000,Commercial,"Image, Related Searches, Local Pack, Site Links, Video","0.35,0.23,0.18,0.11,0.23,0.15,0.18,0.18,0.18,0.18,0.18,0.18",20.0,,,boookretreatyogaretreatkeywoord
us,rishikesh yoga retreats for beginners,,,,,,170,9,0.0,0.0,907000,Commercial,"Local Pack, Site Links, Video, Related Searches, Discussions And Forums, AI Overview","0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.16,0.84,1.00,0.25",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats florida,,,,,,170,13,0.59,0.27,2000000,Commercial,"Video, Related Searches, Discussions And Forums, Knowledge Panel, Site Links","0.15,0.15,0.04,0.29,0.54,0.19,0.29,0.36,0.19,0.66,0.44,0.66",20.0,,,boookretreatyogaretreatkeywoord
us,rishikesh yoga retreats for beginners 2025,,,,,,170,4,0.0,0.0,601000,Informational,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.21,1.00,0.06,0.00",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat center massachusetts,,,,,,170,42,0.88,0.33,1340000,Navigational,"Local Pack, Site Links, Image, Related Searches","0.10,0.22,0.43,0.35,0.29,0.22,0.43,0.35,0.54,0.54,0.54,0.35",20.0,,,boookretreatyogaretreatkeywoord
us,india yoga retreat,,,,,,170,28,0.74,0.21,12900000,Informational,"Knowledge Panel, Site Links, Video, Hotels Pack, Related Searches, AI Overview","0.53,0.43,0.53,0.65,1.00,0.81,0.43,0.53,0.43,0.43,0.81,0.53",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat italy,,,,,,170,17,0.7,0.26,6930000,Commercial,"Local Pack, Video, Image, Related Searches","0.53,0.43,0.65,0.81,0.53,0.53,0.43,0.53,0.43,0.43,0.21,0.43",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat maine,,,,,,170,18,0.46,0.27,185,Commercial,"Local Pack, Site Links, Video, Related Searches","0.35,0.43,0.35,0.29,0.54,0.35,0.54,0.29,0.35,0.29,0.35,0.22",20.0,,,boookretreatyogaretreatkeywoord
us,top yoga retreats in the us,,,,,,140,19,0.94,0.66,16800000,Commercial,"Site Links, Video, Related Searches, Discussions And Forums, AI Overview","0.19,0.42,1.00,0.66,0.42,0.33,0.52,0.66,0.66,0.66,1.00,0.52",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat vermont,,,,,,140,10,0.7,0.22,0,Commercial,"Image, Related Searches, Local Pack, Site Links, Video","0.80,0.65,0.65,0.53,0.53,0.42,0.80,0.42,0.34,0.34,0.42,0.34",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat wisconsin,,,,,,140,3,0.52,0.33,109,Informational,"Site Links, Video, Related Searches, AI Overview","0.53,0.65,0.53,0.80,0.80,0.53,0.80,0.53,0.26,0.26,0.34,0.42",20.0,,,boookretreatyogaretreatkeywoord
us,nosara costa rica yoga retreat,,,,,,140,21,0.98,0.68,0,Commercial,"Site Links, Video, Image, Hotels Pack, Related Searches","0.13,0.10,0.10,0.10,0.13,0.08,0.08,0.10,0.08,0.10,0.13,0.08",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat in florida,,,,,,170,23,0.59,0.27,1360,Commercial,"Local Pack, Site Links, Video, Related Searches","1.00,0.35,0.43,0.17,0.43,0.28,0.53,0.23,0.17,0.23,0.35,0.66",20.0,,,boookretreatyogaretreatkeywoord
us,saint lucia yoga retreat,,,,,,140,1,1.22,0.65,1500000,Commercial,"Video, Image, Related Searches","1.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat gran canaria,,,,,,140,9,0.0,0.02,130,Commercial,"Image, Related Searches, Local Pack, Site Links, Video","0.05,0.07,0.02,0.03,0.05,0.03,0.03,0.19,0.67,0.05,0.02,0.02",20.0,,,boookretreatyogaretreatkeywoord
us,family yoga retreat,,,,,,140,0,0.76,0.3,32200000,"Informational, Commercial","Related Searches, Site Links, Video","0.42,0.42,0.26,0.53,0.53,0.65,0.42,0.80,1.00,0.65,0.34,0.65",,,,boookretreatyogaretreatkeywoord
us,big sky yoga retreats,,,,,,140,15,0.0,0.01,175,Navigational,"Knowledge Panel, Site Links, Video, Related Searches","0.53,0.53,0.80,0.80,0.80,0.65,0.42,0.42,0.53,0.42,0.53,0.42",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat morocco,,,,,,140,4,1.0,0.42,2470000,Informational,"Site Links, Video, Image, Hotels Pack, Related Searches, Discussions And Forums, AI Overview","0.80,0.66,0.52,0.42,0.23,0.42,0.52,0.52,1.00,0.42,0.14,0.42",20.0,,,boookretreatyogaretreatkeywoord
us,women's yoga retreats,,,,,,140,29,0.91,0.04,144,Commercial,"Local Pack, Video, Image, Related Searches","0.00,0.00,0.00,0.10,0.01,0.01,0.01,0.04,0.62,0.24,0.30,1.00",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat san diego,,,,,,140,9,0.76,0.41,138,"Informational, Commercial","Knowledge Panel, Site Links, Video, Related Searches, AI Overview","0.34,0.34,0.34,0.34,0.65,0.34,0.34,0.34,0.34,0.53,0.28,0.81",20.0,,,boookretreatyogaretreatkeywoord
us,couples yoga retreat,,,,,,140,10,0.76,0.28,12900000,Commercial,"Site Links, Video, Image, Video Carousel, Related Searches, Discussions And Forums, Local Pack","0.53,0.42,0.53,0.53,1.00,0.80,0.42,0.42,0.53,0.53,0.42,0.42",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat georgia,,,,,,140,8,0.66,0.4,3560000,Commercial,"Video, Related Searches, Local Pack, Site Links","0.53,0.43,0.28,0.43,1.00,0.34,0.43,0.34,0.34,0.28,0.34,0.34",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat northern california,,,,,,140,26,0.48,0.31,1910000,Commercial,"People Also Ask, Related Searches, AI Overview, Local Pack, Site Links, Video","0.43,0.43,0.43,0.43,0.43,0.43,0.53,0.28,0.23,0.28,0.28,0.17",20.0,,,boookretreatyogaretreatkeywoord
us,tantra yoga retreat thailand,,,,,,140,6,0.0,0.0,146,Informational,"Local Pack, Site Links, Video, Related Searches, AI Overview","0.03,0.03,0.03,0.03,0.03,0.03,0.18,1.00,0.81,0.54,0.35,0.03",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats united states,,,,,,140,18,0.75,0.59,122,Commercial,"Local Pack, Image, Related Searches","0.15,0.07,0.07,0.05,0.12,0.12,0.12,1.00,0.05,0.04,0.07,0.00",90.0,,,boookretreatyogaretreatkeywoord
us,puerto rico yoga retreat center,,,,,,140,18,1.07,0.35,1090000,Commercial,"Local Pack, Site Links, Video, Image, Related Searches, Discussions And Forums","0.21,0.34,1.00,0.34,0.43,0.53,0.28,0.28,0.28,0.28,0.43,0.53",20.0,,,boookretreatyogaretreatkeywoord
us,expanding light yoga retreat,,,,,,140,14,0.74,0.01,4040000,Informational,"Video, Image, People Also Ask, Related Searches, Discussions And Forums, Knowledge Panel","0.33,0.42,1.00,0.80,0.66,0.33,0.66,0.80,0.80,0.80,1.00,0.66",70.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat canary islands,,,,,,140,22,0.51,0.05,0,Commercial,"Local Pack, Site Links, Video, Image, Related Searches","0.23,0.28,0.17,0.23,0.23,0.17,0.17,0.53,1.00,0.12,0.05,0.05",20.0,,,boookretreatyogaretreatkeywoord
us,nosara yoga retreat,,,,,,140,19,0.98,0.68,148,Commercial,"Video, Image, Hotels Pack, Related Searches, Site Links","0.10,0.08,0.08,0.06,0.06,0.06,0.04,0.08,0.06,0.08,0.10,0.06",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat 2025,,,,,,210,25,1.24,0.54,31100000,Commercial,"Video, People Also Ask, Related Searches","0.43,0.35,0.82,0.66,0.66,0.66,0.43,0.28,0.12,0.10,0.05,0.05",90.0,,,boookretreatyogaretreatkeywoord
us,colorado yoga retreat,,,,,,140,23,0.61,0.31,0,Informational,"AI Overview, Knowledge Panel, Video, Image, Related Searches, Discussions And Forums","1.00,0.52,1.00,1.00,0.80,0.33,0.66,0.42,0.33,0.42,0.42,0.33",70.0,,,boookretreatyogaretreatkeywoord
us,sewall yoga retreat,,,,,,140,48,1.02,0.18,29300,"Navigational, Transactional","Related Searches, Knowledge Panel, Site Links, Video, Image, Video Carousel, People Also Ask","0.21,0.28,0.65,1.00,0.43,0.43,0.65,0.43,0.53,0.53,0.65,0.53",20.0,,,boookretreatyogaretreatkeywoord
us,best yoga retreat,,,,,,140,30,1.28,0.45,35400000,Commercial,"Discussions And Forums, AI Overview, Local Pack, Site Links, Video, People Also Ask, Related Searches","0.06,0.20,0.05,0.05,0.06,0.16,0.10,0.05,0.08,0.06,0.16,0.06",20.0,,,boookretreatyogaretreatkeywoord
us,best yoga retreats in the united states,,,,,,140,26,0.94,0.66,105,Commercial,"Discussions And Forums, AI Overview, Site Links, Video, Related Searches","0.66,0.66,0.66,0.66,0.66,0.66,0.42,0.80,0.66,0.66,1.00,0.66",20.0,,,boookretreatyogaretreatkeywoord
us,nicaragua yoga retreat,,,,,,140,6,0.89,0.72,0,Transactional,"Hotels Pack, Related Searches, Discussions And Forums, Site Links, Video, Image","0.35,0.35,0.14,0.14,0.29,0.35,0.29,0.18,0.29,0.29,0.43,0.35",20.0,,,boookretreatyogaretreatkeywoord
us,san diego yoga retreat center,,,,,,110,13,0.76,0.41,2220000,Commercial,"Local Pack, Site Links, Image, Related Searches","0.53,0.34,0.34,0.42,0.53,0.26,0.34,0.19,0.19,0.42,0.53,0.80",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat tulum,,,,,,110,10,1.12,0.69,1370000,Commercial,"Discussions And Forums, Local Pack, Site Links, Video, Related Searches","0.15,0.15,0.06,0.06,0.29,0.09,0.15,0.06,0.12,0.09,0.12,0.36",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats for beginners,,,,,,110,11,0.86,0.3,152,Informational,"Video Carousel, Related Searches, AI Overview, Video","0.43,0.43,0.15,0.15,0.34,0.34,0.21,0.43,1.00,0.21,0.43,0.43",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreats in upstate ny,,,,,,110,24,0.67,0.31,119,Commercial,"Related Searches, Local Pack, Site Links","0.19,0.42,0.80,0.80,0.66,0.33,0.52,0.23,0.33,0.52,0.66,0.33",20.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat caribbean,,,,,,110,17,1.04,0.63,5190000,Commercial,"Image, Related Searches, Discussions And Forums, AI Overview, Local Pack, Video","0.21,0.34,0.34,0.15,0.34,0.21,0.21,0.34,0.21,0.21,0.28,0.21",90.0,,,boookretreatyogaretreatkeywoord
us,sayulita mexico yoga retreat,,,,,,110,13,1.08,0.37,118000,Commercial,"Site Links, Video, Image, Hotels Pack, Related Searches","0.33,0.42,0.33,0.33,0.42,0.42,0.33,0.52,0.52,0.52,0.52,0.52",20.0,,,boookretreatyogaretreatkeywoord
us,the expanding light meditation and yoga retreat,,,,,,110,13,0.0,0.02,2530000,Informational,"Video, Image, Related Searches, Discussions And Forums, Knowledge Panel","0.14,0.42,0.66,0.66,0.42,0.33,0.66,0.66,1.00,0.66,0.80,0.52",70.0,,,boookretreatyogaretreatkeywoord
us,inexpensive yoga retreats,,,,,,110,10,0.91,0.48,201,Informational,"Video, Related Searches, Discussions And Forums, AI Overview, Image Pack","0.17,0.12,0.23,0.35,0.23,0.28,0.35,0.35,0.23,0.35,1.00,0.28",90.0,,,boookretreatyogaretreatkeywoord
us,yoga retreat ohio,,,,,,110,1,0.69,0.2,0,Commercial,"Related Searches, Local Pack, Site Links, Video","0.34,0.42,0.34,0.34,0.53,0.65,0.53,0.42,0.34,0.42,0.34,0.26",20.0,,,boookretreatyogaretreatkeywoord
us,partner yoga retreat,,,,,,110,4,0.76,0.28,13300000,"Informational, Commercial","AI Overview, Site Links, Video, Image, Video Carousel, Related Searches","0.12,0.34,0.21,1.00,0.43,0.21,0.34,0.43,0.53,0.43,0.34,0.34",20.0,,,boookretreatyogaretreatkeywoord
us,gay yoga retreat,,,,,,110,0,0.52,0.22,4540000,Commercial,"Related Searches, Discussions And Forums, Site Links, Video","0.33,0.33,0.42,0.23,0.66,0.52,0.52,0.52,0.80,0.80,0.66,0.66",,,,boookretreatyogaretreatkeywoord
us,yoga retreat bay area,,,,,,110,23,0.85,0.42,14800000,Commercial,"Local Pack, Site Links, Video, Related Searches","0.66,0.52,0.80,0.42,0.42,0.52,0.52,0.33,0.33,0.33,0.33,0.23",20.0,,,boookretreatyogaretreatkeywoord
